PolicyID,CustomerID,PremiumAmount,PaymentFrequency,LastPaymentDate
3c8a3ecb-0858-4605-8d75-c6ff4b34164b,0008921a-609c-4f7b-b820-dcf35751bb99,433.36,Monthly,2023-08-21
41b93ced-751d-4211-baec-36dcb159e7db,000c3d38-bf5a-4f02-9c97-5ee6bdc979b0,1649.66,Annual,
59bf3b05-00df-4587-85a3-9509e1001e07,000c5ca4-7521-4fa0-9bf7-924e8497572f,1919.0,Annual,2022-05-30
8b12399e-5146-443c-95fa-d17ba113c645,0015b7a0-6df6-4735-b9fc-23b166514eda,1328.87,Annual,2024-08-26
5ae0d0c9-869e-4e8e-b7a2-57e61aecfc4d,0020fe40-b74b-4ed2-8df7-7c9686d17d45,941.54,Monthly,2022-04-27
d48e0111-2eeb-4707-acc8-7cdeee861bb5,00251b87-2494-46aa-9602-8bbcf23dde0d,522.83,Monthly,
63855948-d316-454f-8fb9-b8a080525ea1,00385343-8eaf-4ea0-9f86-4c923ef4e7bf,361.64,Monthly,
eb8042df-a3a9-4db6-a461-1134d893700d,004d94a1-32a8-4410-b708-1974666d88fc,591.6,Annual,2020-10-01
53630344-52d3-4082-87cf-703674e912be,004ecadd-0900-4cd2-9488-f0617b73b154,286.11,Annual,2022-08-20
cbf71c4d-293d-421e-88b8-b62543f0ab56,0055a6c8-9535-41ec-960c-66b3dcf3a506,554.33,Annual,2024-08-31
4868b893-495a-4c06-9b28-a4e3e5f3aa91,005be88f-da80-436b-91b2-83277cbc381e,347.49,Annual,2020-10-21
e5f875a4-aecf-4316-87ef-ee6c9ae3810a,005ea896-796a-45e7-922c-4587db2fcb88,235.05,Annual,2020-05-11
f2361211-4501-446e-b98c-e522558ac4da,006064f8-b697-4a12-aa7c-b24e3d072a7e,899.91,Monthly,2022-12-24
c01d06ac-272b-4afa-8104-bd9ec843941f,0074de3a-6b5c-488d-a10b-04ed50e1bbef,295.94,Annual,
b4254302-1293-45d9-8508-97416c4710f4,00796b5c-47e0-49db-b8cd-48c0862d1f5f,1613.08,Monthly,2022-01-01
bc6be598-18cb-4820-82fb-82069fc5580b,007ae4d7-13d5-46e0-831f-d0d090d7b7d5,6571.35,Monthly,2023-09-15
041b56a9-1fb1-473a-abe8-f1899e9c9d56,00916493-5890-4eec-a99b-d3460faed2de,1974.06,Monthly,2023-04-26
45a93c1a-7e3b-4501-872a-4b0fe02ee933,0091aba9-d2a7-4e1e-9866-e78c0a6555d9,1813.43,Monthly,2021-02-10
6b8a7281-96e7-4637-9200-24311d87258a,009a85be-3078-4d3c-8188-7280f4d33fc6,2182.24,Monthly,
aa522cc5-21b3-48f8-9667-f27dc0aba6ae,00a2af8b-3d9d-48f9-9c51-5d8582cc8a36,716.52,Annual,2020-05-01
1c77be5d-a7ae-4039-9af1-b1652e141965,00b5a079-efe9-4269-a2ac-a0f43129241a,1697.76,Monthly,
eb95682a-078c-42d7-b00f-9af5672cf7f0,00ba3bca-fb6c-4b0d-b107-ebe3ca02f05c,1919.87,Annual,
bd732b02-208e-4aea-81d1-1390ba9914cf,00ca107f-f1d4-499d-a6a3-ad2401869827,1739.67,Monthly,
44aff3dd-79c9-4003-aa04-0b5e58c2e47b,00d49f4e-8314-4e03-b2a1-bef654748c45,1806.48,Annual,2022-09-29
61eb0d35-3dca-44e9-aa5a-4fb985dc6404,00dec136-d24c-4c46-9e2d-dd5623b68619,1512.52,Annual,2021-06-19
ee88196f-1979-45d8-932f-8db82bd9a147,00f22439-a3b1-457e-8759-aba90fbacefd,570.99,Monthly,2021-03-03
68363e87-755b-4737-93e5-6bd4e2010a44,00f37091-f676-4029-b059-f1cfee694001,1534.7,Annual,2020-03-06
b56086b1-3f91-4045-8dd0-9d48f2cf1f49,00fd9bd8-ee5a-4954-8d9e-ab50b70d33a9,856.51,Monthly,
b04b5f2b-7d9d-49a3-b7c8-42db58a232b2,00fea4b4-2982-4cdf-906a-daafc842c42f,1106.95,Annual,
2b4f039e-223a-42a0-a95d-0837713676e9,01024e90-e7b8-49eb-8ca9-2e96538eeab8,471.01,Monthly,2020-09-08
f5c8103f-bc6c-4971-8a0f-d1ebcd1998b5,012ad4f1-0c70-42c5-b906-d8401ca93d92,1441.87,Annual,2021-03-26
b0dc8e87-efa4-4013-b37d-5c81b2cefba7,0131e642-0a52-45b0-9482-621b8cc510d4,1197.79,Annual,2021-02-16
513cf3cd-7491-48d2-9120-7392f35c8c0e,013cff08-c163-42da-b3ab-4499c5368b29,1835.43,Annual,2020-05-17
